application_id,district_code,taluk_code,town_code,ward_code,block_code,survey_number,temporary_subdivision_number,new_subdivision_number,existing_patta_number,area_hectare,area_ares,area_square_meter,new_patta_waste,last_updated_datetime,submitted_datetime,land_type,government_private_flag,tax_rate,tax_per_hectare,primary_soil_type,secondary_soil_type,adopted_area_hectare,adopted_area_ares,status,adopted_area_square_meter,surveyor_adopted_area_hectare,surveyor_adopted_area_ares,surveyor_adopted_area_square_meter,district_adopted_area_hectare,district_adopted_area_ares,district_adopted_area_square_meter,new_patta_number,group_survey_number,group_subdivision_number,group_temporary_subdivision_number,group_patta_number,plot_type,plot_number,land_use,land_use_description
2025/0154/28/000286,28,01,001,102,0015,1,0/T2,2,-,0,2,2.5,,2025-03-18 08:46:35.897,,,,,,0,,0,2,E,2.5,0,2,2.5,,,,65481,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,10/T1,10,7880,0,0,3.0,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,3.0,,,,,,,7880,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,10/T2,13,-,0,0,27.5,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,27.5,,,,,,,65412,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,12/T1,12,7882,0,0,12.5,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,12.5,,,,,,,7882,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,12/T2,14,-,0,0,30.0,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,30.0,,,,,,,65413,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,7/T1,7,7888,0,0,12.0,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,12.0,,,,,,,7888,,,,,,,6,வசிப்பிடம்
2025/0154/28/000466,28,01,001,002,0015,1398,7/T2,15,-,0,0,11.0,,2025-05-20 09:28:43.263,,,,,,0,,0,0,E,11.0,,,,,,,65414,,,,,,,6,வசிப்பிடம்
2025/0154/28/001633,28,01,001,102,0015,35,2A/T1,2A,59130,0,20,97.0,,2025-10-28 17:16:31.68,,,,,,0,,0,20,E,97.0,,,,,,,59130,,,,,,,6,வசிப்பிடம்
2025/0154/28/001633,28,01,001,102,0015,35,2A/T6,9,-,0,4,61.0,,2025-10-28 17:16:31.68,,,,,,0,,0,4,E,61.0,,,,,,,65537,,,,,,,6,வசிப்பிடம்
2025/0154/28/001634,28,01,001,102,0015,35,2A/T2,5,-,0,13,28.0,,2025-10-28 17:16:31.68,,,,,,0,,0,13,E,28.0,,,,,,,65538,,,,,,,6,வசிப்பிடம்
2025/0154/28/001634,28,01,001,102,0015,35,2A/T7,10,-,0,4,61.0,,2025-10-28 17:16:31.68,,,,,,0,,0,4,E,61.0,,,,,,,65539,,,,,,,6,வசிப்பிடம்
2025/0154/28/001635,28,01,001,102,0015,35,2A/T3,6,-,0,3,97.0,,2025-10-28 17:16:31.68,,,,,,0,,0,3,E,97.0,,,,,,,65540,,,,,,,6,வசிப்பிடம்
2025/0154/28/001635,28,01,001,102,0015,35,2A/T8,11,-,0,27,0.0,,2025-10-28 17:16:31.68,,,,,,0,,0,27,E,0.0,,,,,,,65541,,,,,,,6,வசிப்பிடம்
2025/0154/28/001636,28,01,001,102,0015,35,2A/T4,7,-,0,3,59.0,,2025-10-28 17:16:31.68,,,,,,0,,0,3,E,59.0,,,,,,,65542,,,,,,,6,வசிப்பிடம்
2025/0154/28/001637,28,01,001,102,0015,35,2A/T5,8,-,0,4,17.0,,2025-10-28 17:16:31.68,,,,,,0,,0,4,E,17.0,,,,,,,65543,,,,,,,6,வசிப்பிடம்
2025/0154/28/001672,28,01,001,103,0015,6,1/T1,1,60742,0,58,61.1,,2025-08-28 17:38:17.834,,,,,,0,,0,58,E,61.1,,,,,,,60742,,,,,,,6,வசிப்பிடம்
2025/0154/28/001672,28,01,001,103,0015,6,1/T2,4,-,0,1,1.4,,2025-08-28 17:38:17.834,,,,,,0,,0,1,E,1.4,,,,,,,65608,,,,,,,6,வசிப்பிடம்
2025/0154/28/001912,28,01,001,102,0015,35,2T/T1,2T,59150,0,9,24.4,,2025-09-30 11:48:51.248,,,,,,0,,0,9,E,24.4,,,,,,,59150,,,,,,,6,வசிப்பிடம்
2025/0154/28/001912,28,01,001,102,0015,35,2T/T2,4,-,0,7,56.0,,2025-09-30 11:48:51.248,,,,,,0,,0,7,E,56.0,,,,,,,65535,,,,,,,6,வசிப்பிடம்
2025/0154/28/001963,28,01,001,103,0015,6,1/T1,1,60742,0,57,59.1,,2025-11-25 18:16:06.648,,,,,,0,,0,57,E,59.1,,,,,,,60742,,,,,,,6,வசிப்பிடம்
2025/0154/28/002080,28,01,001,103,0015,6,1/T2,5,-,0,0,61.0,,2025-11-25 18:16:06.648,,,,,,0,,0,0,E,61.0,,,,,,,65633,,,,,,,6,வசிப்பிடம்
2025/0154/28/002081,28,01,001,103,0015,6,1/T3,6,-,0,0,41.0,,2025-11-25 18:16:06.648,,,,,,0,,0,0,E,41.0,,,,,,,65634,,,,,,,6,வசிப்பிடம்
2026/0154/28/000530,28,01,001,103,0015,5,4A/T1,4A,60738,0,92,80.0,,2026-05-17 22:53:10.448,,,,,,0,,0,92,E,80.0,,,,,,,60738,,,,,,,6,வசிப்பிடம்
2026/0154/28/000685,28,01,001,103,0015,5,4A/T2,5,-,0,1,0.0,,2026-05-17 22:53:10.448,,,,,,0,,0,1,E,0.0,,,,,,,65729,,,,,,,6,வசிப்பிடம்
