serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2023-05-23,01,2023-05-27 14:52:59.302,2023/0153/28/001046,1369,4,7948,0,0,,,202329072095,,,10.236.251.148,,-,0,C,202329072095,S,4,,,,N,,,
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2023-06-01,01,2023-06-12 11:18:21.475,2023/0153/28/001164,1362,11,7932,0,0,,,202329213678,,,10.236.251.149,,-,0,C,202329213678,S,11,,,,N,,,
1,tut_ramyadevi,-,0153,28,01,001,,103,0015,2023-07-27,02,2023-07-28 08:48:35.22,2023/0153/28/001535,5,4A,60738,0,1,,,202328404570,,,10.236.251.173,,-,0,C,202328404570,S,4A,,,,N,,,
1,tut_ramyadevi,-,0153,28,01,001,,102,0015,2023-06-06,01,2023-06-12 11:12:13.511,2023/0153/28/001198,15,0,59106,0,0,,,202328828436,,,10.236.251.147,,-,0,C,202328828436,S,0,,,,N,,,
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2023-05-18,01,2023-06-08 12:53:07.02,2023/0153/28/001014,1363,0,8011,0,0,,,202329010572,,,10.236.251.147,,-,0,C,202329010572,S,0,,,,Y,,,
1,tut_ramyadevi,-,0153,28,01,001,,103,0015,2023-07-24,01,2023-07-27 19:25:49.879,2023/0153/28/001492,6,2,60743,0,1,,,202329017078,,,10.236.251.148,,-,0,C,202329017078,S,2,,,,N,,,
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2023-05-15,01,2023-05-27 15:02:19.965,2023/0153/28/000991,1355,1J2,7642,0,0,,,202328954099,,,10.236.251.147,,-,0,C,202328954099,S,1J2,,,,Y,,,
1,tut_prabhakaran,-,0154,28,01,001,,102,0015,2023-05-11,02,2023-08-18 21:25:19.218,2023/0154/28/001390,1,0,59092,0,0,,,202328925600,,,10.236.251.147,,-,0,C,202328925600,S,0,,,,N,,,
1,tut_prabhakaran,01,0154,28,01,001,,002,0015,2023-09-27,02,2023-11-17 14:18:38.418,2023/0154/28/003023,1355,1O1,7651,0,1,,,133280113407940,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
2,tut_prabhakaran,01,0154,28,01,001,,002,0015,2023-09-27,01,2023-11-17 14:18:38.418,2023/0154/28/003023,1355,1O2,7652,0,1,,,133280113407940,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,102,0015,2023-08-24,01,2023-08-26 13:28:26.787,2023/0153/28/001815,1,0,59092,0,1,,,202329640885,,,10.236.251.149,,-,0,C,202329640885,S,0,,,,N,,,
1,tut_rselvakumartah,-,0154,28,01,001,,102,0015,2022-03-12,02,2022-06-14 11:25:01.138,2022/0154/28/000156,22,0,59113,0,00,,,202223957844,,,10.236.251.147,,-,0,C,202223957844,S,0,,,,N,,,
1,tut_rselvakumartah,01,0154,28,01,001,,102,0015,2022-10-13,01,2022-10-31 11:34:32.356,2022/0154/28/000779,24,3,59117,0,00,,,133280120618026,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,102,0015,2023-08-02,01,2023-08-18 19:06:51.281,2023/0153/28/001593,1,0,59092,0,1,,,202328916012,,,10.236.251.148,,-,0,C,202328916012,S,0,,,,N,,,
