slno,district_code,taluk_code,town_code,ward_code,block_code,application_id,survey_number,subdivision_number,old_patta_number,land_type_code,extent_value_1,extent_value_2,extent_value_3,registration_document_number,transfer_reason,registration_date,registration_place,submission_date,government_private_flag,transaction_status,last_updated_datetime,submitted_datetime,form8a_number,receipt_date,tahsildar_receipt_date,purchased_area,surveyor_received_date,surveyor_completed_date,court_order_number,court_order_date,court_name,purchased_area_unit,sketch_sent_date,sketch_received_date,incorporation_date,handover_received_date,commissioner_change_date,street_code,old_street_code,sis_recommendation,sis_remarks,sis_recommendation_reason,surveyor_recommendation,surveyor_remarks,surveyor_recommendation_reason,district_recommendation,district_remarks,district_recommendation_reason,tahsildar_recommendation,tahsildar_remarks,tahsildar_recommendation_reason,land_category_code,old_door_number,new_door_number,payment_amount,generated_patta_number,total_subdivisions
265982,28,01,001,102,0015,2022/0154/28/000156,22,0,59113,2,0,1,0.0,R/527/1/1015/2022,விடுதலை ஆவணம்,2022-03-12,1 எண் இணை சார்பதிவாளர் தூத்துக்குடி,2022-03-12 16:43:15.859,,02/01,2022-06-14 11:25:01.138,,"",,0019-12-13,-,,,,,,-,,,,,,,,,,,,,,,,,N,UN APPROVAL LAYOUT,01,,,,,,
375438,28,01,001,102,0015,2022/0154/28/000776,24,3,59117,2,0,36,40.0,2814,Sale deed,2022-06-30,Tuticorin Joint I,2022-10-12 18:08:28.626,,02/19,2022-10-25 09:26:55.127,,"",,0031-04-14,3640,,,,,,Square Metre,,,,,,,,,,,,,,,,,N,REJECT,19,,,,,,
375621,28,01,001,102,0015,2022/0154/28/000779,24,3,59117,2,0,36,40.0,2814/2022,Sale deed,2024-06-06,Tuticorin Joint I,2022-10-13 11:47:41.475,,01,2022-10-31 11:34:32.356,,2022/28/01/000034SD,,0037-04-13,3640,,2022-10-28,,,,Square Feet,2022-10-28,,,,,0001,0001,Y,OK,"",Y,ok,"",Y,ok,"",Y,Approved,"",1,-,"",,,
461797,28,01,001,102,0015,2023/0154/28/000376,24,1,59115,2,0,19,70.0,R/527/1/1358/2013,Sale deed,2013-08-05,Tuticorin Joint I,2023-03-10 15:52:21.133,2,02/15,2023-03-16 09:10:13.535,,"",,0021-09-13,2250,,2023-03-11,,,,Square Feet,2023-03-11,,,,,0001,0001,Y,OK,"",Y,ok,"",Y,ok,"",N,Survey number wrong,15,1,-,"",,,
462290,28,01,001,102,0015,2023/0154/28/000395,25,0,59118,2,0,22,50.0,R/527/1/1358,Sale deed,2013-05-08,Tuticorin Joint I,2023-03-11 08:33:03.774,,02/15,2023-03-19 08:51:30.692,,"",,0024-09-12,2250,,2023-03-11,,,,Square Metre,2023-03-11,,,,,0001,,Y,ok,"",Y,ok,"",Y,ok,"",N,AREA DIFFERENT,15,,109/5,"",,,
470052,28,01,001,102,0015,2023/0154/28/000570,24,1,59115,2,0,19,70.0,R/527/1/1871/2006,Sale deed,2008-02-10,Tuticorin Joint I,2023-03-23 13:51:07.138,2,01,2023-03-23 15:52:04.771,,2023/28/01/000082SD,,0028-09-12,2250,,2023-03-23,,,,Square Feet,2023-03-23,,,,,0001,0001,Y,ok,"",Y,OK,"",Y,OK,"",Y,Approved.,"",1,-,"",,,
470065,28,01,001,102,0015,2023/0154/28/000571,25,0,59118,2,0,22,50.0,R/527/1/1187/2006,Sale deed,2008-02-10,Tuticorin Joint I,2023-03-23 13:54:25.3,2,01,2023-03-23 15:52:20.845,,2023/28/01/000083SD,,0028-09-12,2250,,2023-03-23,,,,Square Feet,2023-03-23,,,,,0001,0001,Y,ok,"",Y,OK,"",Y,OK,"",Y,Approved.,"",1,109/5,"",,,
470068,28,01,001,102,0015,2023/0154/28/000572,26,0,59119,2,0,2,40.0,R/527/1/1187/2006,Sale deed,2008-02-10,Tuticorin Joint I,2023-03-23 13:56:45.93,2,01,2023-03-23 15:52:37.683,,2023/28/01/000084SD,,0028-09-12,2250,,2023-03-23,,,,Square Feet,2023-03-23,,,,,0001,0001,Y,ok,"",Y,OK,"",Y,OK,"",Y,Approved.,"",1,109/5A,"",,,
501450,28,01,001,102,0015,2023/0154/28/001390,1,0,59092,2,0,17,18.0,R/527/1/2048/2023,விற்பனை ஆவணம்/ கிரைய ஆவணம்,2023-05-11,1 எண் இணை சார்பதிவாளர் தூத்துக்குடி,2023-05-11 18:28:34.641,,02/07,2023-08-18 21:25:19.218,,"",,0024-02-13,-,,,,,,-,,,,,,,,,,,,,,,,,N,Rejected,07,1,,,,,
837568,28,01,001,102,0015,2024/0154/28/002252,35,2T,59150,2,0,22,0.0,R/527/1/4313/2024,விற்பனை ஆவணம்/ கிரைய ஆவணம்,2024-11-04,1 எண் இணை சார்பதிவாளர் தூத்துக்குடி,2024-11-04 16:07:03.045,,01,,,2025/28/01/000266SD,,2025-01-10,-,,,,,,-,2024-12-31,,,2024-12-31,,,,Y,ok,,Y,ok,,Y,ok,,Y,Approved.,,1,,,,,
901375,28,01,001,102,0015,2025/0154/28/000286,1,0,59092,2,0,17,18.0,R/527/1/01387/2007,Sale deed,2017-02-06,Tuticorin Joint I,2025-02-18 15:30:02.085,2,01,,,2025/28/01/000289SD,,2025-01-31,2180,,,,,,Square Feet,2025-03-18,,,2025-03-18,,,0001,Y,ok,,Y,K,,Y,k,,Y,Approved.,,1,,,,,
1026337,28,01,001,102,0015,2025/0154/28/001633,35,2A,59130,2,0,82,20.0,R/527/1/1889,Sale deed,2022-05-05,Tuticorin Joint I,2025-08-25 12:29:50.016,2,01,,,2025/28/01/000388SD,,2025-10-31,82,,,,,,Ares,2025-10-28,,,2025-10-28,,,0001,Y,ok,,Y,ok,,Y,ok,,Y,Approved,,1,,,,,
